filename,tokens,types,mean_token,median_token,sd_token
alexander_petter-002,2234,642,6.865875559534468,5.771,5.182118295828753
ghazaleh_petter-002,2235,633,5.865804921700224,5.003,4.41044526350199
david_hel,890,358,6.598658426966293,5.358499999999999,5.321936008947107
ghazaleh_hel,2476,980,7.538185379644587,6.1715,5.9754649965373225
greta,1232,333,7.069405032467533,5.759499999999999,5.22805093279668
alexander,2236,689,6.539906976744186,5.609,4.762168128847518
ghazaleh_petter-001_hel,2815,692,6.104903730017762,5.338,4.3384528385877825
greta_rebecca-002,1891,524,6.0856679005817025,5.085,4.552807203562311
alexander_petter-001,2177,623,6.688572806614608,5.574,4.891837403165857
greta_rebecca-001,1722,486,6.228555168408827,5.16,4.8354058200322
