filename,tokens,types,mean_token,median_token,sd_token
ghazaleh_petter-001_hel,3043,694,4.167943476832074,3.69,3.058533406742043
ghazaleh_petter-002,2401,635,4.020446064139942,3.439,3.150258728607867
alexander,2395,692,4.3800847599164925,3.65,3.4823474696970016
ghazaleh_hel,2711,983,5.040044632976762,4.1499999999999995,4.11395568067161
alexander_petter-001,2392,626,4.5565673076923074,3.8895,3.3756535160151424
greta_rebecca-001,1907,491,4.276386470896696,3.608,3.5062067747996917
greta_rebecca-002,1429,423,4.348445066480056,3.548,3.923741643318447
david_hel,929,359,4.453725511302476,3.4849999999999994,3.801346729377464
alexander_petter-002,2424,644,4.647081683168317,3.941,3.6279036115386236
greta,1379,335,4.830451776649746,3.872,3.6891123715046876
