filename,tokens,types,mean_token,median_token,sd_token
alexander_petter-002,2377,633,5.7482309633992426,4.305,4.947165079094829
greta,1379,335,6.593571428571429,4.611,5.862813562739219
ghazaleh_petter-002,2377,630,5.029419015565839,3.806,4.420337748136224
greta_rebecca-001,726,265,5.561674931129476,4.045999999999999,5.026984985091535
ghazaleh_hel,2711,983,6.63903725562523,4.871,5.778701705012427
alexander_petter-001,2383,625,5.840216114141838,4.353,4.9304976955356565
alexander,2395,693,5.519960751565762,4.016,4.919098059557784
david_hel,911,355,5.368972557628979,3.726,5.070380615222152
ghazaleh_petter-001_hel,3043,694,5.221618468616497,4.013,4.362299142511342
greta_rebecca-002,1439,418,5.744369701181377,4.359,5.2137114642380515
