filename,tokens,types,mean_token,median_token,sd_token
alexander,2395,692,6.201408350730689,4.929,4.820805382632272
david_hel,929,359,5.846593110871905,4.432,5.083314908055842
greta,1379,335,7.379590282813633,5.826,5.609477055009807
greta_rebecca-001,1907,491,6.285676455165181,5.016,4.914774096454303
alexander_petter-001,2392,626,6.607344899665552,5.478,4.808133167218134
alexander_petter-002,2424,644,6.446649339933994,5.003,5.0264472873475015
ghazaleh_petter-001_hel,3043,694,5.909575747617483,4.82,4.432254440648473
ghazaleh_hel,2711,983,7.376175580966434,5.836,5.698382723134921
ghazaleh_petter-002,2401,635,5.701545605997501,4.556,4.511389333377009
greta_rebecca-002,1429,423,6.673138558432471,5.357,5.615192142959589
