filename,tokens,types,mean_token,median_token,sd_token
ghazaleh_petter-001_complicated,796,442,5.905629396984924,4.82,5.237063350512051
alexander_petter-001_complicated,892,458,5.952162556053811,4.890000000000001,5.120157924080244
ghazaleh_complicated,1199,579,6.226273561301084,5.022,5.477437060723601
david_complicated,954,473,5.247455974842768,4.35,4.457648113645226
greta_complicated,762,379,6.776551181102362,5.456,5.661255477892087
alexander_complicated,1459,721,5.618716929403701,4.499,4.705556671804515
greta_rebecca-002_complicated,1742,697,5.185644087256027,4.2135,4.605833393508352
greta_rebecca-001_complicated,1514,636,5.110480184940554,3.99,4.7609033189186745
ghazaleh_petter-002_complicated,942,510,5.686144373673036,4.6625,4.742869087467496
alexander_petter-002_complicated,1068,508,6.342971910112359,4.8454999999999995,13.15453598399682
